time,error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R,pos_x,pos_y
35.01,-9.89,-1.46,-2.23,66.14,64.98,109.89,69.75,5.16,6.28,-0.27,0.33
35.07,-13.81,-3.92,-3.27,68.25,73.47,113.81,70.18,4.64,6.28,-0.27,0.33
35.14,-7.46,6.35,-0.70,72.73,72.47,107.46,65.88,5.93,6.28,-0.28,0.32
35.20,-3.69,3.77,-0.36,60.19,70.22,103.69,69.67,6.10,6.28,-0.28,0.32
35.26,-10.58,-6.89,-3.21,69.00,62.25,110.58,66.16,4.67,6.28,-0.29,0.31
35.33,-7.54,3.04,-0.62,67.25,69.14,107.54,71.24,5.97,6.28,-0.29,0.31
35.39,0.60,8.14,0.01,65.01,65.62,99.40,65.69,6.28,6.28,-0.30,0.30
35.46,-6.67,-7.27,-3.15,65.38,71.60,106.67,68.68,4.70,6.28,-0.31,0.30
35.52,-6.24,0.43,-1.34,66.18,70.12,106.24,68.86,5.61,6.28,-0.31,0.29
35.58,-12.14,-5.90,-3.24,60.01,69.47,112.14,69.26,4.66,6.28,-0.32,0.29
35.65,-2.98,9.16,0.46,67.37,67.13,102.98,69.14,6.28,6.05,-0.32,0.28
35.71,-2.56,0.42,-1.31,66.19,69.71,102.56,66.57,5.62,6.28,-0.32,0.28
35.78,-8.59,-6.03,-3.18,65.19,66.92,108.59,69.70,4.69,6.28,-0.33,0.27
35.84,2.08,10.66,1.24,70.99,66.23,97.92,69.50,6.28,5.66,-0.33,0.26
35.90,-0.75,-2.83,-2.96,61.94,74.72,100.75,70.00,4.80,6.28,-0.34,0.26
35.97,0.06,0.81,-1.13,61.63,69.26,99.94,69.79,5.71,6.28,-0.34,0.25
36.03,-5.37,-5.43,-3.14,67.43,66.11,105.37,64.97,4.71,6.28,-0.35,0.25
36.10,-4.05,1.32,-0.90,67.21,68.96,104.05,57.88,5.83,6.28,-0.35,0.24
36.16,-6.39,-2.34,-2.65,67.23,65.40,106.39,63.59,4.95,6.28,-0.36,0.23
36.22,4.22,10.61,1.21,65.72,67.27,95.78,65.69,6.28,5.67,-0.36,0.23
36.29,8.80,4.58,0.69,60.90,62.40,91.20,70.22,6.28,5.94,-0.36,0.22
36.35,7.57,-1.23,-2.03,68.66,68.34,92.43,63.76,5.27,6.28,-0.37,0.21
36.42,3.12,-4.45,-3.12,66.19,64.51,96.88,65.56,4.72,6.28,-0.37,0.21
36.48,-0.79,-3.91,-3.12,64.96,67.54,100.79,69.57,4.72,6.28,-0.37,0.20
36.54,-1.09,-0.29,-1.61,66.82,71.93,101.09,66.15,5.47,6.28,-0.38,0.20
36.61,-5.92,-4.84,-3.14,70.24,64.94,105.92,67.15,4.71,6.28,-0.38,0.19
36.67,1.62,7.54,0.09,69.80,67.60,98.38,67.90,6.28,6.24,-0.38,0.18
36.74,2.45,0.83,-1.12,66.19,67.70,97.55,69.57,5.72,6.28,-0.39,0.17
36.80,6.78,4.33,0.54,69.57,64.32,93.22,65.82,6.28,6.01,-0.39,0.17
36.86,4.03,-2.76,-2.90,71.04,68.08,95.97,66.12,4.83,6.28,-0.39,0.16
36.93,3.31,-0.72,-1.80,66.71,65.72,96.69,71.95,5.38,6.28,-0.40,0.15
36.99,0.52,-2.79,-2.93,66.05,67.82,99.48,64.38,4.81,6.28,-0.40,0.15
37.06,5.33,4.81,0.46,64.78,68.94,94.67,62.89,6.28,6.05,-0.40,0.14
37.12,4.38,-0.95,-1.90,70.16,70.42,95.62,67.71,5.33,6.28,-0.40,0.13
37.18,2.86,-1.52,-2.17,64.84,75.25,97.14,68.97,5.19,6.28,-0.40,0.13
37.25,5.48,2.61,-0.09,64.47,63.47,94.52,66.70,6.23,6.28,-0.41,0.12
37.31,1.24,-4.24,-3.12,63.85,64.87,98.76,64.79,4.72,6.28,-0.41,0.11
37.38,0.26,-0.98,-1.91,65.84,67.53,99.74,67.61,5.32,6.28,-0.41,0.10
37.44,2.22,1.96,-0.54,71.40,68.40,97.78,61.64,6.01,6.28,-0.41,0.10
37.50,7.49,5.27,0.67,66.10,69.43,92.51,70.26,6.28,5.95,-0.41,0.09
37.57,4.87,-2.62,-2.80,67.29,67.42,95.13,65.62,4.88,6.28,-0.42,0.08
